,text_id,text,task_1,task_2,task_3,clean_tweets,label
10,hasoc_en_11,"Mahendra Singh Dhoni's love for the Nation, Armed Forces and Soldiers has been intact which is truly commendable. He is Nation's Hero. No one represents our Country better than him. I stand with @msdhoni  #DhoniKeepsTheGlove #DhoniKeSaathDesh   #IndiaWithDhoni https://t.co/xFO4KNyj8b",NOT,NONE,NONE,"mahendra singh dhoni' love for the nation, arm forc and soldier ha been intact which is truli commendable. he is nation' hero. no one repres our countri better than him. i stand with #dhonikeepstheglov #dhonikesaathdesh #indiawithdhoni",0
11,hasoc_en_12,I don’t know how much more I can take! 45 is a compulsive liar! #Trump30Hours #TrumpIsATraitor,HOF,HATE,TIN,i don’t know how much more i can take! 45 is a compuls liar! #trump30hour #trumpisatraitor,2
12,hasoc_en_13,#ShameOnICC@ICC WINNER TEAM-RAIN  ICC RUN UP TEAM-RAIN  ICC MAN OF THE MATCH-RAIN  ICC MAN OF THE SERIES-RAIN  BEST BOWLER-RAIN  BEST WICKETKEPER-RAIN https://t.co/nEL5SXz6om,NOT,NONE,NONE,#shameonicc winner team-rain icc run up team-rain icc man of the match-rain icc man of the series-rain best bowler-rain best wicketkeper-rain,0
13,hasoc_en_14,@narendramodi  @pmoindia_namo  @narendramodi  @PMOIndia  @AmitShah  @RamNanthKobind  Grevious assault on jr doctors in all medical colleges in WB. No action being taken for safety security and justice. PM sir please intervene asap.  #Savethedoctors  #DoctorsFightBack,NOT,NONE,NONE,greviou assault on jr doctor in all medic colleg in wb. no action be taken for safeti secur and justice. pm sir pleas interven asap. #savethedoctor #doctorsfightback,0
14,hasoc_en_15,ICC denies request from BCCI to allow MSD wear gloves with Army insignia.    @ICC @BCCI #DhoniKeepTheGlove #DhoniKeepsTheGlove,NOT,NONE,NONE,icc deni request from bcci to allow msd wear glove with armi insignia. #dhonikeeptheglov #dhonikeepstheglov,0
15,hasoc_en_16,Good work @ICC keep going just destroy the whole fucking world cup #ShameOnICC https://t.co/ELvq7PAuY9,HOF,PRFN,TIN,good work keep go just destroy the whole fuck world cup #shameonicc,4
16,hasoc_en_17,"Wow, you're full of it @MattHancock   #BorisJohnsonShouldNotBePM   #KickThemOut https://t.co/mbl0wsYroj ",NOT,NONE,NONE,"wow, you'r full of it #borisjohnsonshouldnotbepm #kickthemout",0
17,hasoc_en_18,"All Indian spectators shd hv #BalidanBadge in ground, #DhoniKeepsTheGlove #DhoniKeepBalidaanBadgeGlove #DhoniKeepsTheGlove #DhoniKeSathDesh",NOT,NONE,NONE,"all indian spectat shd hv #balidanbadg in ground, #dhonikeepstheglov #dhonikeepbalidaanbadgeglov #dhonikeepstheglov #dhonikesathdesh",0
18,hasoc_en_19,@ICC  @BCCI  What about Virat Kholi tattoos 😂😂    #DhoniKeepsTheGlove https://t.co/hGaAB9GCyD,NOT,NONE,NONE,what about virat kholi tattoo 😂😂 #dhonikeepstheglov,0
19,hasoc_en_20,Which is more important?  #IndiaWithDhoni   #DhoniKeepsTheGlove https://t.co/Iib4R9P0qn,NOT,NONE,NONE,which is more important? #indiawithdhoni #dhonikeepstheglov,0
20,hasoc_en_21,@KBMteam @iowaspeedway @HBurtonRacing @rileyherbst @ToddGilliland_ @CSmithDrive @rileyherbst is gonna crash. #Douchebag,NOT,NONE,NONE,is gonna crash. #douchebag,0
21,hasoc_en_22,Harbor N Bay Mens Boxer Short Pack of 2 @ Rs.299    https://t.co/tceazILuQp    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll,NOT,NONE,NONE,harbor n bay men boxer short pack of 2 @ rs.299 #doctorsfightback #savebeng #amazon #flipkart #deal #dealoftheday #amazingd #offer #discount #jaishreeram #modiforal,0
22,hasoc_en_23,ICC turns down #BCCI's request to allow @msdhoni to continue wearing the army insignia on his wicket-keeping gloves; ICC says regulations for ICC events do not permit any individual message or logo to be displayed on any items of clothing or equipment.   #DhoniKeepsTheGlove https://t.co/HuGm4DiLuL,NOT,NONE,NONE,icc turn down #bcci' request to allow to continu wear the armi insignia on hi wicket-keep gloves; icc say regul for icc event do not permit ani individu messag or logo to be display on ani item of cloth or equipment. #dhonikeepstheglov,0
23,hasoc_en_24,#ShameOnICC  1. ICC on Dhoni's gloves                    Vs  2.ICC planning the World Cup https://t.co/4kO3zKt7ln,HOF,HATE,TIN,#shameonicc 1. icc on dhoni' glove vs 2.icc plan the world cup,2
24,hasoc_en_25,Senior #Doctors of #RGKar greeted with applause &amp; ovation by #JuniorDoctors after they came back submitting #Resignation.    Hear them. This is not orchestrated. This is not paid stunt. These are docs mass-resigning in protest.    #DoctorsFightBack #SaveTheDoctors #IstandwithNRS https://t.co/3c4z1X26hm,NOT,NONE,NONE,senior #doctor of #rgkar greet with applaus &amp; ovat by #juniordoctor after they came back submit #resignation. hear them. thi is not orchestrated. thi is not paid stunt. these are doc mass-resign in protest. #doctorsfightback #savethedoctor #istandwithnr,0
25,hasoc_en_26,Empty podiums make too much noise     #ToryLeadershipDebate #UKPM #BorisJohnsonShouldNotBePM #Leadersdebate #GTTO #JC4PM2019 #frightnight https://t.co/aDgCqhdDTl,NOT,NONE,NONE,empti podium make too much nois #toryleadershipdeb #ukpm #borisjohnsonshouldnotbepm #leadersdeb #gtto #jc4pm2019 #frightnight,0
26,hasoc_en_27,#ShameOnICC #iccworldcup2019 world cup reality https://t.co/MhPD5gDVze,NOT,NONE,NONE,#shameonicc #iccworldcup2019 world cup realiti,0
27,hasoc_en_28,Disgusting! And they don’t change their culture or come up with vetting system or preventative ways to stop this from occurring. This will continue to happen. The Catholic Church needs to go! #rapist #ChildTrafficking #CatholicChurch #CatholicTwitter https://t.co/tb4tSoD2Lz,HOF,HATE,TIN,disgusting! and they don’t chang their cultur or come up with vet system or prevent way to stop thi from occurring. thi will continu to happen. the cathol church need to go! #rapist #childtraffick #catholicchurch #catholictwitt,2
28,hasoc_en_29,GOQii VITAL - Colour Display Blood Pressure Monitor  @ Rs.1999 (mrp-3499)    https://t.co/f9OHrx9kd2    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll,NOT,NONE,NONE,goqii vital - colour display blood pressur monitor @ rs.1999 (mrp-3499) #doctorsfightback #savebeng #amazon #flipkart #deal #dealoftheday #amazingd #offer #discount #jaishreeram #modiforal,0
29,hasoc_en_30,500 doctors have already resigned in #Bengal.    NRS 100  SSKM 175  National medical college 20  RG Kar 126  North Bengal college 119  Murshidabad 50  Rampurhat 37  Burdwan 26    #DoctorsFightBack #SaveTheDoctors,NOT,NONE,NONE,500 doctor have alreadi resign in #bengal. nr 100 sskm 175 nation medic colleg 20 rg kar 126 north bengal colleg 119 murshidabad 50 rampurhat 37 burdwan 26 #doctorsfightback #savethedoctor,0
30,hasoc_en_31,"Hi everyone, I'm in Kolkata and just thought I'd let you know about some crazy goings on in the medical world here, which has become front page news.    Recent years have seen a rise in violence against doctors, often the most junior.     #DoctorsFightBack https://t.co/Wk3I7bXMR1",NOT,NONE,NONE,"hi everyone, i'm in kolkata and just thought i'd let you know about some crazi go on in the medic world here, which ha becom front page news. recent year have seen a rise in violenc against doctors, often the most junior. #doctorsfightback",0
31,hasoc_en_32,"@BCCI @ICC @englandcricket Worst ever world cup arrangement in cricket history #ShameOnICC #ShameOnEngland  #WC2019 No swimming pool, gym in hotel. #EnglishBeggers #RoyalBeggers",NOT,NONE,NONE,"worst ever world cup arrang in cricket histori #shameonicc #shameonengland #wc2019 no swim pool, gym in hotel. #englishbegg #royalbegg",0
32,hasoc_en_33,@realDonaldTrump fuck you and go fuck yourself you piece of shit someone get this asshole a jail cell for his birthday #ImpeachTrumpNow #fucktrump #dickstaindonald #DerangedDonald https://t.co/41eFBCu2uD,HOF,PRFN,TIN,fuck you and go fuck yourself you piec of shit someon get thi asshol a jail cell for hi birthday #impeachtrumpnow #fucktrump #dickstaindonald #derangeddonald,4
33,hasoc_en_34,Donald Trump lies.  #TrumpIsATraitor   Happy #JohnMcCainDay ! https://t.co/uaFNXVT2m5 https://t.co/WeBD6lhm54,NOT,NONE,NONE,donald trump lies. #trumpisatraitor happi #johnmccainday !,0
34,hasoc_en_35,"@TheRealOJ32 Of all the retired NFL players, why is it that you DON’T suffer from CTE?     You should be at the bottom of a pool you mistook for an elevator. #murderer",HOF,HATE,TIN,"of all the retir nfl players, whi is it that you don’t suffer from cte? you should be at the bottom of a pool you mistook for an elevator. #murder",2
35,hasoc_en_36,The Telegraph´s use of the word ´crown´ with regard to Boris Johnson just says it all.  #BorisJohnsonShouldNotBePM   https://t.co/ynmm0Ryugq,NOT,NONE,NONE,the telegraph´ use of the word ´crown´ with regard to bori johnson just say it all. #borisjohnsonshouldnotbepm,0
36,hasoc_en_37,"#DoctorsFightBack | No doctor wishes to stop emergency services: Dr Sayantan Banerjee, Resident doctor, AIIMS (Relative of assaulted Dr Paribaha Mukherjee) https://t.co/6OhGHwzPKy",NOT,NONE,NONE,"#doctorsfightback | no doctor wish to stop emerg services: dr sayantan banerjee, resid doctor, aiim (rel of assault dr paribaha mukherjee)",0
37,hasoc_en_38,@timesofindia No worries @timesofindia because there will be on only one winner   And that is  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  Rains🤷   #ShameOnICC   .  .  .  .,NOT,NONE,NONE,no worri becaus there will be on onli one winner and that is . . . . . . . . . . . . . . . rains🤷 #shameonicc . . . .,0
38,hasoc_en_39,Will @ImRo45 score a 100 again today?  Predict @ https://t.co/miljukaKu1 and win prizes.   #INDvAUS #DhoniKeepsTheGlove   #DhoniAtCWC19 https://t.co/rZ1dlFsKOX,NOT,NONE,NONE,will score a 100 again today? predict @ and win prizes. #indvau #dhonikeepstheglov #dhoniatcwc19,0
39,hasoc_en_40,DON'T support a country Who has Concentration Camps againts small etnich groups and religions      DON'T support the violencie and discrimination 🚫    #HumanRights #BoycottChina #StopRacismo #Diversity #China #EndHate #StopViolence https://t.co/FLmiZWIFjY,NOT,NONE,NONE,don't support a countri who ha concentr camp againt small etnich group and religion don't support the violenci and discrimin 🚫 #humanright #boycottchina #stopracismo #divers #china #endhat #stopviol,0
40,hasoc_en_41,"#DhoniKeepsTheGlove@ICC you are zero without dhoni like captain,person... https://t.co/jxBh5MW1L5",NOT,NONE,NONE,"#dhonikeepstheglov you are zero without dhoni like captain,person...",0
41,hasoc_en_42,@ashwinnagar @MamataOfficial For interest of puplic she is speaking #DoctorsFightBack #doctors @MamataOfficial #MamataBanarjee,NOT,NONE,NONE,for interest of puplic she is speak #doctorsfightback #doctor #mamatabanarje,0
42,hasoc_en_43,Now if all remaining matches will get washed   NZ - 12  Ind - 11  Eng - 10  Aus - 10  WI - 9  SL - 9  Pak - 9  Ban - 8   SA - 6  Afg - 6    Semis  Aus vs NZ (If rain doesn't stop)  NZ  Eng vs Ind (If rain doesn't stop)  Ind    Final  Ind vs NZ (If rain doesn't stop)  NZ - India will win #ShameOnICC,NOT,NONE,NONE,now if all remain match will get wash nz - 12 ind - 11 eng - 10 au - 10 wi - 9 sl - 9 pak - 9 ban - 8 sa - 6 afg - 6 semi au vs nz (if rain doesn't stop) nz eng vs ind (if rain doesn't stop) ind final ind vs nz (if rain doesn't stop) nz - india will win #shameonicc,0
43,hasoc_en_44,@Werdnat This crazy Manbaby will probably paint it gold.  Not gawdy at all.    #ihate45   #worstPresidentever   #weaselheadedfucknugget   #shutyourshithole   #fucktrump   #yousuck   #liarinchief   #noclass   #moron   #ridusofthisdisease  #UnfollowTrump  ┌∏┐ (•˽•)┌∏┐,HOF,PRFN,TIN,thi crazi manbabi will probabl paint it gold. not gawdi at all. #ihate45 #worstpresidentev #weaselheadedfucknugget #shutyourshithol #fucktrump #yousuck #liarinchief #noclass #moron #ridusofthisdiseas #unfollowtrump ┌∏┐ (•˽•)┌∏┐,4
44,hasoc_en_45,This is everything. #fucktrump https://t.co/e2C48U3pss,HOF,PRFN,TIN,thi is everything. #fucktrump,4
45,hasoc_en_46,"@AMISHDEVGAN Where were the IMA &amp; other associations when doctors were being hounded for a year after #BRDOxygenTragedy without any fault of their own? Doctors need to stand up with each other, no matter who the assaulter is and who is in power  #DoctorsFightBack #DoctorsProtest",NOT,NONE,NONE,"where were the ima &amp; other associ when doctor were be hound for a year after #brdoxygentragedi without ani fault of their own? doctor need to stand up with each other, no matter who the assault is and who is in power #doctorsfightback #doctorsprotest",0
46,hasoc_en_47,Hey Trump ! These lovely ladies got something to tell ya ....  #FUCKTRUMP https://t.co/s1WhlaPaMf,HOF,PRFN,TIN,hey trump ! these love ladi got someth to tell ya .... #fucktrump,4
47,hasoc_en_48,"I love this bill, I think they should start printing them #FuckTrump https://t.co/NY9CuyivGl",HOF,PRFN,TIN,"i love thi bill, i think they should start print them #fucktrump",4
48,hasoc_en_49,So basically he’s not vegan #dickhead 🙄 https://t.co/Z2SPDxudxp,HOF,PRFN,TIN,so basic he’ not vegan #dickhead 🙄,4
49,hasoc_en_50,@TheRealOJ32 The world will rejoice when you die. #murderer #classless,HOF,OFFN,TIN,the world will rejoic when you die. #murder #classless,3
50,hasoc_en_51,Acoustic &amp; Electric Guitar Kits from Rs.1699    https://t.co/wXRyzchSIH    Guitars &amp; Other Musical Instruments Upto 75% off    https://t.co/NCQt99ChnD    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll,NOT,NONE,NONE,acoust &amp; electr guitar kit from rs.1699 guitar &amp; other music instrument upto 75% off #doctorsfightback #savebeng #amazon #flipkart #deal #dealoftheday #amazingd #offer #discount #jaishreeram #modiforal,0
51,hasoc_en_52,"@realDonaldTrump Maybe @LindseyGrahamSC should take his lips off your ass, read the report, and get with the dems and everyone else with half a brain and get YOU out of the White House! 🤷‍♂️ #POSPOTUS #ASSKISSERS #ImpeachTrump #FuckTrump #ButNotLiterallyLindsey",HOF,PRFN,TIN,"mayb should take hi lip off your ass, read the report, and get with the dem and everyon els with half a brain and get you out of the white house! 🤷‍♂️ #pospotu #asskiss #impeachtrump #fucktrump #butnotliterallylindsey",4
52,hasoc_en_53,https://t.co/soiOMk5pal    “This ruling sends a clear message that Muslim voices will not be silenced by threats and hate.” - @DeanObeidallah via @WashTimes     @MuslimAdvocates helped represent Mr. Obeidallah.     #AntiMuslim #Islamophobia #Justice https://t.co/9oV1I1zxev,NOT,NONE,NONE,“thi rule send a clear messag that muslim voic will not be silenc by threat and hate.” - via help repres mr. obeidallah. #antimuslim #islamophobia #justic,0
53,hasoc_en_54,"-50'C to -70'C avg. temp in #Siachen, in winters(avg. people feel cold +15'C)    In such #Skull freezing envrmnt #IndianArmy protect #us    But people like kanahiya kumar referred #IndianArmy as #rapist and supports who abuses and throw stones at #IndianArmy    https://t.co/gI6xQum7Ln",NOT,NONE,NONE,"-50'c to -70'c avg. temp in #siachen, in winters(avg. peopl feel cold +15'c) in such #skull freez envrmnt #indianarmi protect #u but peopl like kanahiya kumar refer #indianarmi as #rapist and support who abus and throw stone at #indianarmi",0
54,hasoc_en_55,Mamta ji pls don't drag Muslims in this case no one said they won't treat any particular religion   I am  a muslim pls stop speculating situation based on religion  Stop playing bloody politics   #MamtaBanerjee #DoctorsFightBack #India #westbengal #trinamool,NOT,NONE,NONE,mamta ji pl don't drag muslim in thi case no one said they won't treat ani particular religion i am a muslim pl stop specul situat base on religion stop play bloodi polit #mamtabanerje #doctorsfightback #india #westbeng #trinamool,0
55,hasoc_en_56,"Are you watching, Johnson?  #borisjohnson  #BorisJohnsonShouldNotBePM #incompetent https://t.co/ysNwC9fGuI",NOT,NONE,NONE,"are you watching, johnson? #borisjohnson #borisjohnsonshouldnotbepm #incompet",0
56,hasoc_en_57,Well come to New Pakistan with new rates   #Budget2019 #PTIGovernment #imranhataomulkbachao https://t.co/Jj2Ip6YvSZ,NOT,NONE,NONE,well come to new pakistan with new rate #budget2019 #ptigovern #imranhataomulkbachao,0
57,hasoc_en_58,@realDonaldTrump Just this: T.R.U.M.P  is ...    GOOD! HE SHOULD BE!    #TrumpIsATraitor https://t.co/5LbpbOCrdg,NOT,NONE,NONE,just this: t.r.u.m.p is ... good! he should be! #trumpisatraitor,0
58,hasoc_en_59,"just going to leave this here 👏🏻 keep your eyes and mind open to how the media portray people and remember, question everything #Leadersdebate #BorisJohnsonShouldNotBePM https://t.co/xIKypuvnLA",NOT,NONE,NONE,"just go to leav thi here 👏🏻 keep your eye and mind open to how the media portray peopl and remember, question everyth #leadersdeb #borisjohnsonshouldnotbepm",0
59,hasoc_en_60,All the best to #TeamIndia for another swimming competition on Sunday against   #India 🇮🇳 #Pakistan. 🇵🇰     #INDvPAK #ShameOnICC  #CWC19 #CWC19Rains ☔☔ https://t.co/LmI5bnCCvR,NOT,NONE,NONE,all the best to #teamindia for anoth swim competit on sunday against #india 🇮🇳 #pakistan. 🇵🇰 #indvpak #shameonicc #cwc19 #cwc19rain ☔☔,0
60,hasoc_en_61,Unisex Anti Trump AF T-Shirt in Extended Sizes - Small up to 5x https://t.co/cCONVvIIWf  #fucktrump #antitrump #votebluenomatterwho https://t.co/oQkq0Ya6Gy,NOT,NONE,NONE,unisex anti trump af t-shirt in extend size - small up to 5x #fucktrump #antitrump #votebluenomatterwho,0
61,hasoc_en_62,@ICC @bira91 This world cup 19 should be ban !! 😡😡 Rain rain rain motherfuckerr ICC   Shift this world to another country or ban this world cup 19 😡😡   #ShameOnICC 😡😡,HOF,PRFN,TIN,thi world cup 19 should be ban !! 😡😡 rain rain rain motherfuckerr icc shift thi world to anoth countri or ban thi world cup 19 😡😡 #shameonicc 😡😡,4
62,hasoc_en_63,Learn how to cover up the ground #ShameOnICC,NOT,NONE,NONE,learn how to cover up the ground #shameonicc,0
63,hasoc_en_64,"😅😂🤣🤣    LMAO at the shoe-lifts, girdle-butt stance.  Pathetic.    But #FUCKTRUMP for the vomitus of lies he spews and crimes he commits😡🤬🤮🤬😡 https://t.co/1IhAUsvqnx",HOF,PRFN,TIN,"😅😂🤣🤣 lmao at the shoe-lifts, girdle-butt stance. pathetic. but #fucktrump for the vomitu of lie he spew and crime he commits😡🤬🤮🤬😡",4
64,hasoc_en_65,"We have waited 4 years to see the world cup matches, not the rain. If this continues it will be very disappointing for all the fans.#ShameOnICC",NOT,NONE,NONE,"we have wait 4 year to see the world cup matches, not the rain. if thi continu it will be veri disappoint for all the fans.#shameonicc",0
65,hasoc_en_66,Gee... where have we seen this before? #fucktrump #ImpeachDonaldTrumpNOW Leaked docs reveal Russian effort to exert influence in Africa  https://t.co/Hb5krYqkIB,NOT,NONE,NONE,gee... where have we seen thi before? #fucktrump #impeachdonaldtrumpnow leak doc reveal russian effort to exert influenc in africa,0
66,hasoc_en_67,"Sarah Sanders is floating the idea of running for Arkansas governor, sources say #Resist #ResistTrump #FuckTrump https://t.co/L78qmZDJWu",NOT,NONE,NONE,"sarah sander is float the idea of run for arkansa governor, sourc say #resist #resisttrump #fucktrump",0
67,hasoc_en_68,#dirtyjohn #bravo holy crap the guy was in #LosGatos and that's in my neck of the woods it's #siliconvalley #sanjose #scary #murderer,NOT,NONE,NONE,#dirtyjohn #bravo holi crap the guy wa in #losgato and that' in my neck of the wood it' #siliconvalley #sanjos #scari #murder,0
68,hasoc_en_69,#ShameOnICC: Indian Fans Unleash Their Wrath Upon ICC After Another World Cup Washout https://t.co/UeO1Iy22cr,NOT,NONE,NONE,#shameonicc: indian fan unleash their wrath upon icc after anoth world cup washout,0
69,hasoc_en_70,Throwback to the time when Pak dedicated an entire match to its army and the ICC didn't even flinch. India must not be pressured by ICC and change #Dhoni gloves. Don't let Pak win. Boycott the WC India!    #DhoniKeepTheGlove #DhoniKeepsTheGlove #DhoniKeSaathDesh #DhoniKeepTheGloves https://t.co/pcJdN21liN,NOT,NONE,NONE,throwback to the time when pak dedic an entir match to it armi and the icc didn't even flinch. india must not be pressur by icc and chang #dhoni gloves. don't let pak win. boycott the wc india! #dhonikeeptheglov #dhonikeepstheglov #dhonikesaathdesh #dhonikeeptheglov,0
70,hasoc_en_71,I want to know too!  Thanks @AOC for asking these questions !  #FuckTrump #BeBest #OrangeFoolius. https://t.co/FLZlaqdSLt,NOT,NONE,NONE,i want to know too! thank for ask these question ! #fucktrump #bebest #orangefoolius.,0
71,hasoc_en_72,We don't need a special law. WE NEED PROPER UNBIASED ENFORCEMENT OF EXISTING LAWS. Once they are applied properly  and people jailed there will be deterrence.  We doctors must win back the trust of the people. This will ensure political support for us.  #DoctorsFightBack,NOT,NONE,NONE,we don't need a special law. we need proper unbias enforc of exist laws. onc they are appli properli and peopl jail there will be deterrence. we doctor must win back the trust of the people. thi will ensur polit support for us. #doctorsfightback,0
72,hasoc_en_73,Top 50 hashtags mentioning @realDonaldTrump for 2019-06-15 07:00 to 2019-06-15 15:00 GMT+0  #MAGA #JohnMcCainDay #Trump2020 #DerangedDonald #Trump #TrumpIsATraitor #ImpeachTrumpNow #WWG1WGA #RT #ImpeachTrump   https://t.co/CSJrZiSfsH,NOT,NONE,NONE,top 50 hashtag mention for 2019-06-15 07:00 to 2019-06-15 15:00 gmt+0 #maga #johnmccainday #trump2020 #derangeddonald #trump #trumpisatraitor #impeachtrumpnow #wwg1wga #rt #impeachtrump,0
73,hasoc_en_74,"#DhoniKeepsTheGlove why only dhoni all the indian audience should also wear   the jersey and banner with 'Balidan' Insignia. Tv channels ,news papers and wherever possible should include this insignia.",NOT,NONE,NONE,"#dhonikeepstheglov whi onli dhoni all the indian audienc should also wear the jersey and banner with 'balidan' insignia. tv channel ,new paper and wherev possibl should includ thi insignia.",0
74,hasoc_en_75,@jimsciutto @RepMcCaul Except... Trump’s hand has already been caught in the cookie jar trying to get “dirt” on an opponent from Russia.     Remember... Trump Tower?     #TrumpIsATraitor   #ImpeachmentHearingsNow https://t.co/AWvmmEqN2F,NOT,NONE,NONE,except... trump’ hand ha alreadi been caught in the cooki jar tri to get “dirt” on an oppon from russia. remember... trump tower? #trumpisatraitor #impeachmenthearingsnow,0
75,hasoc_en_76,"Crabs LIVE! Covering the lies of the sleazy, cheating #GOP! https://t.co/GLZrjv6HxA ---&gt; 'Viva La Resistance!' #Trump #fucktrump #libcrib",NOT,NONE,NONE,"crab live! cover the lie of the sleazy, cheat #gop! ---&gt; 'viva la resistance!' #trump #fucktrump #libcrib",0
76,hasoc_en_77,Livpure Glo 7L RO+UV + Mineralizer Water Purifier  @ Rs.9499 (mrp-15990)    https://t.co/iNAuUJY5tX    More:  https://t.co/Qw2tZtN8Lx    https://t.co/iNAuUJY5tX    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll,NOT,NONE,NONE,livpur glo 7l ro+uv + miner water purifi @ rs.9499 (mrp-15990) more: #doctorsfightback #savebeng #amazon #flipkart #deal #dealoftheday #amazingd #offer #discount #jaishreeram #modiforal,0
77,hasoc_en_78,"The most awaited variant from #OnePlus - #OnePlus7Pro in Almond.  Buy Now on @amazonIN 👉https://t.co/yt4E7vkM32 with an EMI starting at just ₹2,495    #OnePlus7IsHere #oneplus7series #OnePlus7 #WorldBloodDonorDay #ShameOnICC #FridayMotivation #NBAFinals #FridayFeeling #WeTheNorth",NOT,NONE,NONE,"the most await variant from #oneplu - #oneplus7pro in almond. buy now on 👉 with an emi start at just ₹2,495 #oneplus7isher #oneplus7seri #oneplus7 #worldblooddonorday #shameonicc #fridaymotiv #nbafin #fridayfeel #wethenorth",0
78,hasoc_en_79,Ted Bundy’s final meal. He didn’t even pick at it. #execution #murderer #killer #tedbundy #breakfast #lethalinjection https://t.co/xJ4LrWmcph,NOT,NONE,NONE,ted bundy’ final meal. he didn’t even pick at it. #execut #murder #killer #tedbundi #breakfast #lethalinject,0
79,hasoc_en_80,"@CMofKarnataka,@siddaramaiah,  @MBPatil @DVSBJP  Dear Sir please look at this video we all met Earlier Homeminster for #TGSFraud and #DreamZGKfraud Like you he also promised.#IMAfraud https://t.co/PKAlmcjPcf  @suvarnanewstv",NOT,NONE,NONE,",, dear sir pleas look at thi video we all met earlier homeminst for #tgsfraud and #dreamzgkfraud like you he also promised.#imafraud",0
